City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,bluff,-46.6,168.3333,9.15,55,69,9.09,NZ,1679951559
84,north bend,43.4065,-124.2243,7.91,70,100,5.14,US,1679951573
85,itoman,26.1247,127.6694,17.01,82,99,6.17,JP,1679951574
86,kodiak,57.79,-152.4072,3.73,70,0,2.57,US,1679951574
87,teguldet,57.3064,88.1667,1.51,98,100,4.07,RU,1679951574
88,vaini,-21.2,-175.2,26.09,94,100,2.06,TO,1679951574
89,penapolis,-21.4197,-50.0775,26.97,72,96,1.85,BR,1679951575
90,dayal bagh,27.2167,78.0167,21.69,35,76,3.44,IN,1679951575
91,sevlievo,43.0258,25.1136,10.08,82,100,6.34,BG,1679951575
92,vardo,70.3705,31.1107,-9.01,86,20,7.72,NO,1679951575
93,moen,69.1304,18.6123,-18.6,78,0,1.54,NO,1679951576
94,merauke,-8.4667,140.3333,24.4,96,100,5.19,ID,1679951576
95,mendi,-6.1761,143.6513,12.96,98,100,1.59,PG,1679951576
96,hobart,-42.8794,147.3294,11.92,93,75,1.54,AU,1679951576
97,hithadhoo,-0.6,73.0833,27.63,79,100,4.7,MV,1679951577
98,baruun-urt,46.6806,113.2792,-1.82,59,10,1.72,MN,1679951577
99,kapaa,22.0752,-159.319,27.18,81,0,5.14,US,1679951577
100,trojes,41.756,19.962,7.53,91,100,1.18,AL,1679951577
101,constantine,36.365,6.6147,6.28,90,2,1.84,DZ,1679951405
102,chuy,-33.6971,-53.4616,20.7,63,0,4.38,UY,1679951578
103,constitucion,-35.3333,-72.4167,16.7,64,7,6.15,CL,1679951578
104,avera,33.194,-82.5271,21.03,75,84,6.21,US,1679951578
105,tarare,45.8976,4.4327,4.74,81,59,1.21,FR,1679951578
106,alihe,50.5667,123.7167,-7.17,95,34,1.18,CN,1679951579
107,terrace,54.5163,-128.6035,10.54,42,4,1.04,CA,1679951521
108,east london,-33.0153,27.9116,17.23,66,35,5.71,ZA,1679951579
109,kibala,9.1104,18.3463,30.7,20,57,1.89,TD,1679951579
110,codrington,-38.2667,141.9667,12.97,84,61,0.75,AU,1679951579
111,mar del plata,-38.0023,-57.5575,24.01,48,0,6.17,AR,1679951579
112,manvi,15.9833,77.05,26.56,25,83,4.12,IN,1679951579
113,benton harbor,42.1167,-86.4542,9.04,73,20,4.47,US,1679951580
114,tuktoyaktuk,69.4541,-133.0374,-4.44,87,100,7.75,CA,1679951580
115,celestun,20.8667,-90.4,30.27,58,1,4.75,MX,1679951580
116,manuk mangkaw,4.8,119.85,27.52,79,100,3.81,PH,1679951580
117,castro,-24.7911,-50.0119,18.55,89,97,3.24,BR,1679951580
118,saint-philippe,-21.3585,55.7679,23.77,78,39,2.38,RE,1679951581
119,nago,26.5881,127.9761,16.24,76,100,5.97,JP,1679951581
120,awjilah,29.1081,21.2869,21.54,26,0,2.6,LY,1679951581
121,kruisfontein,-34.0033,24.7314,16.05,74,100,4.41,ZA,1679951581
122,salalah,17.0151,54.0924,28.05,78,75,4.12,OM,1679951582
123,pokhara,28.2333,83.9833,14.11,52,1,3.81,NP,1679951582
124,chokurdakh,70.6333,147.9167,-15.37,87,100,4.92,RU,1679951582
125,nipawin,53.3668,-104.0009,-10.72,82,100,2.28,CA,1679951582
126,kasongo-lunda,-6.4667,16.8167,21.23,97,100,1.12,CD,1679951583
127,thompson,55.7435,-97.8558,-13.51,79,100,4.46,CA,1679951583
128,beroroha,-21.6667,45.1667,21.41,85,99,1.4,MG,1679951584
129,centralia,46.7162,-122.9543,13.05,52,40,1.54,US,1679951584
130,maceio,-9.6658,-35.7353,27.69,74,20,4.12,BR,1679951584
131,ixtapa,20.7,-105.2,24.57,61,0,6.17,MX,1679951457
132,songea,-10.6833,35.65,17.82,98,100,1.71,TZ,1679951585
133,goderich,43.7501,-81.7165,4.95,81,98,8.32,CA,1679951585
134,bundaberg,-24.85,152.35,23.45,93,60,0.45,AU,1679951586
135,nelson bay,-32.7167,152.15,20.56,97,99,2.68,AU,1679951586
136,antofagasta,-23.65,-70.4,22.6,76,7,3.55,CL,1679951549
137,pacific grove,36.6177,-121.9166,17.82,39,0,6.69,US,1679951512
138,portland,45.5234,-122.6762,14.2,48,100,8.23,US,1679951509
139,tura,25.5198,90.2201,18.96,83,0,1.96,IN,1679951587
